title,description,length
The Frog Prince and Other Stories,"1 The Frog Princebrings back the princess' golden ball in return for eating and sleeping as her friend.
2 Princess Belle-Etoilefollows her cousin Prince Cheri on last of three dangerous expeditions, protected by magic doves she saves.
3 Aladdingains fortune and Princess Bulbul from the magic lamp genii spirit but angers his magician ""uncle"".",343
"Dark Riddle: Hegel, Nietzsche, And The Jews","A unique analysis of the conflicting views toward Judaism reflected in the work of German philosophers Hegel and Nietzsche. Through his masterly analysis of the writings of both men, Yirmiyahu Yovel shows that anti-Jewish prejudice can exist alongside a philosophy of reason, while a philosophy of power must not necessarily be anti-Semitic.",341
The Exceptionally Decisive Carl Schmitt: Naming the Sovereign Hand,"Carl Schmitt (1888-1985) was a German conservative. He is someone you need to read if you want to know what is going on in the world today. In this study, the topic of sovereignty on Schmitt's terms is discussed. Two themes are used to explain the sovereign theory of Schmitt, that of names and the hand. After reading this book, you should understand why politics is the ""art of counting up to one.""",400
Footprints on the Ceiling,"Life can be a bit upside down in the Smuckers' Oregon farmhouse. Dorcas Smucker, mother of six, writes thoughtful essays about muffins on the floor, orange dots on the kitchen ceiling, and the footprint that began their journey. Daffodils, blackberries, independent kids, and a yowling kitty--they're all here too. Should they cut down the pine trees? Why does a yellow teapot mean redemption? How can a dedicated mom let go? Find out for yourself, and recall all the unexpected endings of your own.",499
Burning Bright: Irom Sharmila and the Struggle for Peace in Manipur,"Irom Sharmila has been on a fast unto death for eight years, demanding a repeal of the draconian Armed Forces Special Powers Act in Manipur. This act has led to numerous atrocities. Sharmila has been arrested and force fed through feeding tubes be her own government. This is a moving portrait of the 'Iron Lady of Manipur.""",324
Remainder,"A man is severely injured in a mysterious accident, receives an outrageous sum in legal compensation, and has no idea what to do with it.
Then, one night, an ordinary sight sets off a series of bizarre visions he can't quite place.
How he goes about bringing his visions to life--and what happens afterward--makes for one of the most riveting, complex, and unusual novels in recent memory.",389
Imagining the Congo: The International Relations of Identity,"Understanding the current civil war in Congo requires an examination of how the Congo's identity has been imagined over time. Imagining the Congohistoricizes and contextualizes the constructions of the Congo's identity during four historical periods. Kevin Dunn explores ""imaginings"" of the Congo that have allowed the current state of affairs there to develop, and the broader conceptual question of how identity has become important in recent IR scholarship.",460
The Second Journey of Agatha Heterodyne Volume 3: The Incorruptible Library (Girl Genius #16),"Adventure, Romance, Mad Science! Agatha is the last of the Heterodynes-a notorious family of Mad Scientists that everyone had thought safely wiped out. When a rival scientist traps her family castle and the surrounding town in a time-freeze, Agatha must embark on a journey to find a way to reverse the effect and save the people she loves.",340
The Hercules Text,"From a remote corner of the galaxy a message is being sent. The continuous beats of a pulsar have become odd, irregular...artificial. It can only be a code.
Frantically, a research team struggles to decipher the alien communication. And what the scientists discover is destined to shake the foundations of empires around this world--from Wall Street to the Vatican...",367
"Buried Biker (A Jesse Damon Crime Novel, #3)","Bikers have their own code of ethics.
The cops have decided Jesse wasn't the one who raped sometimes-girlfriend Kelly. But can he convince Kelly and her father's biker buddies that he had nothing to do with it? And since he's already on parole on a murder conviction, he's the first obvious suspect when the real rapist turns up dead.",334
"Korgi, Book 2: The Cosmic Collector","The Cosmic Collector is the second volume in the critically acclaimed, all-ages graphic novel series, Korgi. In this volume, things are not going too well in Korgi Hollow. While a mysterious hunter has trapped and clipped the wings off of many mollies, Ivy and Sprout search for answers in the surrounding woods... but they may be facing something that is totally out of this world!",382
The Librarians and the Lost Lamp (The Librarians #1),"The story toggles between the past, as Flynn Carsen tries to find Aladdin's Lamp before an ancient criminal organization known as the Forty Seals gets hold of it, and the future, when Eve Baird and a new group of Librarians -- protectors of ancient artifacts like King Arthur's sword Excalibur -- stumble on a mystery in Las Vegas that seems to relate to the Lamp and the powerful djinn it can summon.",401
No Place for a Lady: Tales of Adventurous Women Travelers,"Hodgson profiles adventurous women who sacrificed personal comfort and respectability to pursue experiences traditionally open only to men. Filled with fascinating portraits, historical maps, and intricate drawings, this is at once a beautifully illustrated exploration of early travel and a spirited celebration of women.",322
"Seeing Clearly (In Too Deep, #2)","Gretchen McKay had a new job on TV's longest running soap opera. She had a lot riding on her career and falling in love would just be a distraction.
Joel Perrin had a different story. He was ready to fall in love... he just didn't want to fall in love with Gretchen.
Against better judgment, the pair keep finding themselves giving in to their undeniable chemistry. When their feelings for one another become overwhelming, they're faced with a choice...
Jump in or move on.",473
